,RID,smiles
384,R0000001265,*C=C(*)C(C)(C)CC
385,R0000001266,*C=C(*)C(C)(C)CCCCCC
386,R0000001267,*C=CC1CC(*)C2CCCC12
387,R0000001268,*CC#CC#CCC1(*)c2ccccc2-c2ccccc21
388,R0000001269,*C1C2CC(=*)C(C2)C1*
389,R0000001270,*C1C(*)C2CC1C1C=CCC12
390,R0000001271,*C=CC1CCCCC1*
391,R0000001272,*C#CC=C*
392,R0000001273,*C=C(*)C
393,R0000001274,*C=C(*)CC
394,R0000001275,*C=C(*)CCC
395,R0000001276,*C=CC1CC(*)C(C2CC=CCC2)C1
396,R0000001277,*c1ccc2c(c1)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(*)ccc1-2
397,R0000001278,*C1=CCC(*)CC1
398,R0000001279,*C=CC1CC(=*)C(*)C1
399,R0000001280,*C=Cc1ccc2c(c1)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(*)ccc1-2
400,R0000001281,*c1ccc2c(c1)C(CCCCCCCCCCCC)(CCCCCCCCCCCC)c1cc(*)ccc1-2
401,R0000001282,*C=CC(*)(C)C
402,R0000001283,*C=CC1CC(*)C2C3CCC(C3)C12
403,R0000001295,*C1CC2CC(*)C1C2
404,R0000001306,*C1(*)CC2C=CC1C2
405,R0000001307,*C1(*)CC2CCC1CC2
406,R0000001316,*CCC(C)C*
407,R0000001327,*C1C(*)C2C=CC1C1C(*)C(*)C21
408,R0000001334,*C1CCC(C=C)CC1*
409,R0000001335,*C1CCCCCC1*
410,R0000001336,*C1CCCCCCC1*
411,R0000001337,*C1CC2(C1)CC(*)C2
412,R0000001338,*c1cccc2cc3c(*)cccc3cc12
413,R0000001339,*c1cc(C)c(*)c2ccccc12
414,R0000001352,*C(*)C=C
415,R0000001356,*c1cccc2cccc(*)c12
416,R0000001357,*c1ccc2cccc(*)c2c1
417,R0000001358,*c1c(C)ccc2c(*)c(C)ccc12
418,R0000001364,*c1cc(*)c(C)cc1*
419,R0000001368,*c1ccc(C2(c3ccc(*)c(C)c3)c3ccccc3-c3ccccc32)cc1C
420,R0000001369,*c1c(C)cc(C2(c3cc(C)c(*)c(C)c3)c3ccccc3-c3ccccc32)cc1C
421,R0000001389,*C1(*)CC1
422,R0000001405,*c1ccc(C(=C)c2ccc(*)cc2)cc1
423,R0000001414,*CC(=C)C*
424,R0000001418,*c1ccc(C=*)cc1C
425,R0000001419,*C1(*)C2CC3CC(C2)CC1C3
426,R0000001440,*C1CCC(*)C(C)C1
427,R0000001454,*CC(*)C(*)C*
428,R0000001456,*C1(*)CCCCCC1
429,R0000001463,*c1cc(C=*)c(*)cc1C=*
430,R0000001508,*c1ccc(C=*)c2ccccc12
431,R0000001509,*C1CCC(*)(*)CC1
432,R0000001510,*C1(*)CCCCCCCCCCC1
433,R0000001512,*C1(*)CC2CC1C1CCCC21
434,R0000001514,*CC(C*)(C*)CC
435,R0000001521,*c1ccc(C#Cc2cc(*)c(C#Cc3ccc(*)cc3)cc2*)cc1
436,R0000001525,*=Cc1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(C=*)ccc1-2
437,R0000001531,*c1ccc2c(*)cccc2c1
438,R0000001555,*c1ccc2ccccc2c1*
439,R0000001584,*c1ccc(*)c(C=*)c1
440,R0000001598,*=CC1=CC(=*)CC(C)(C)C1
441,R0000001599,*C1C=C(C)C(*)C(*)C1
442,R0000001613,*CCC(C)CCCC(C)C
443,R0000001618,*c1c2ccccc2c(*)c2ccccc12
444,R0000001619,*c1ccc2c(*)c3ccccc3c(*)c2c1
445,R0000001625,*C=Cc1cc(*)c(C=*)cc1*
446,R0000001635,*C12CCC(*)(CC1)CC2
447,R0000001658,*C=Cc1ccc(C=*)cc1
448,R0000001681,*C=CC(=*)C
449,R0000001682,*=CC(=*)C
450,R0000001692,*c1ccc(C(=*)c2cc(*)c(*)c(*)c2)cc1
451,R0000001700,*CCCCCCCCCCCCCCCCCCCC
452,R0000001706,*c1cc(*)c2cccccc1-2
453,R0000001715,*c1ccc2cc3cc(*)ccc3cc2c1
454,R0000001718,*C=Cc1cccc(*)c1
455,R0000001741,*c1ccc(C2(c3ccc(*)cc3)c3ccccc3Cc3ccccc32)cc1
456,R0000001742,*C(*)(C)C(C)C
457,R0000001760,*c1ccc2c(*)c(*)ccc2c1
458,R0000001761,*C1CCC(C2CCC(*)CC2)CC1
459,R0000001768,*CCCCCCCCCC#CC#CCCCCCCCCC*
460,R0000001775,*C1(*)CC(C)CC(C)(C)C1
461,R0000001780,*CCCCCCC(C*)C*
462,R0000001781,*c1ccc2c(c1)C1(CC2(C)C)CC(C)(C)c2ccc(*)cc21
463,R0000001782,*c1ccc(*)c2c1CC2
464,R0000001787,*C=Cc1c(*)ccc2ccccc12
465,R0000001788,*c1ccc2ccccc2c1C=*
466,R0000001793,*C1C2C=CC(C2)C1*
467,R0000001794,*CC#CC(=*)C#CC*
468,R0000001795,*=Cc1ccc(C#Cc2ccc(C=*)cc2)cc1
469,R0000001796,*=C(C#Cc1ccccc1)C#Cc1ccccc1
470,R0000001797,*C(C)C#CC#CC(*)C
471,R0000001800,*CCC(C)CC*
472,R0000001814,*c1ccc(C)cc1*
473,R0000001816,*c1ccccc1C=*
474,R0000001822,*CC(C)(C*)CCC
475,R0000001827,*CCCCC=*
476,R0000001828,*C1(*)CCC2CCCCC2C1
477,R0000001831,*CCC(C)CC(C*)CC
478,R0000001832,*CCC(CC)CC(C)C*
479,R0000001836,*=CCCC=*
480,R0000001868,*CCCCCCCCC=C
481,R0000001872,*C(C)CC(*)C
482,R0000001875,*c1ccc(C#Cc2cccc(*)c2)cc1
483,R0000001876,*c1ccc(C#Cc2ccc(*)cc2)cc1
484,R0000001877,*CCCC(C)C*
485,R0000001880,*c1cccc(C#Cc2cccc(*)c2)c1
486,R0000001911,*CCCCCCCCCCCCC(C*)C*
487,R0000001920,*c1ccc(C)c(*)c1C
488,R0000001933,*C(*)C=*
489,R0000001935,*=CCCCC=*
490,R0000001942,*c1ccc2c(c1)-c1cc(*)ccc1C2
491,R0000001946,*CC(C*)CCCC
492,R0000001955,*c1ccc(C2(c3ccc(*)c(*)c3)c3ccccc3-c3ccccc32)cc1*
