,corrected,RID,smiles
318,,R3175,*c1ccc(N=Cc2ccc([N+](=O)[O-])cc2)cc1
319,,R3194,*N1C(=O)c2ccc([Si](C)(C)c3ccc([Si](C)(C)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O
320,,R3195,*c1ccc([Si](C)(C)c2ccc3c(c2)C(=O)N(*)C3=O)cc1
321,,R3196,*N1C(=O)C(=*)NC1=S
322,,R3200,*c1ccc2c(c1*)C(=O)N(*)C2=O
330,,R3218,*=Cc1ccc(C=Nc2ccc(N=*)c([N+](=O)[O-])c2)cc1
333,,R3223,*CCCCCCN=Cc1cc(*)cc([N+](=O)[O-])c1O
334,,R3328,*c1ccc2c(c1)C(=O)N1C2=NC(*)C1*
335,,R3331,*c1ccc(C2(c3ccc(*)cc3)c3ccccc3C(=O)N2*)cc1
232,,R945,*c1nn(C(C)=O)c2ccccc12
237,,R982,*CC(*)C(=O)n1sc2ccccc2c1=O
268,,R1117,*CC(*)C(=O)n1c2ccccc2c2ccccc21
300,,R1362,*c1ccc2c(c1)C(=O)n1c-2nc2ccc(*)cc21
301,,R1363,*c1ccc2c(c1)-c1nc3cc(*)ccc3n1C2=O
302,,R1367,*c1ccc2c(c1)C(=O)n1c-2nc2cc(*)ccc21
490,,R2110,*C(=O)n1c(*)ccc1*
491,,R2114,*C(=O)n1c2ccc(*)cc2c2cc(*)ccc21
507,,R2212,*c1ccc2c(c1)c1cc(*)ccc1n2C(C)=O
617,,R2607,*C(=O)n1c(*)nc2cc3nc4c5ccc(*)c6c(*)ccc(c(=O)n4c3cc21)c65
269,,R1120,*n1c(C#N)cc(=O)[nH]c1=O
446,,R1959,*n1c(=O)c2cc3c(=O)n(C(=*)C#N)c(=O)c3cc2c1=O
525,,R2587,*n1c(=O)c2cc3oc4cc5c(cc4oc3cc2c1=O)C1(CC5(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(*)c(=O)c5cc4oc3cc21
530,,R2628,*n1c(=O)c2cc3oc4cc5c(cc4oc3cc2c1=O)C1(C(C)C)c2cc3oc4cc6c(=O)n(*)c(=O)c6cc4oc3cc2C12c1ccccc1C52C(C)C
531,,R2637,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(*)c(=O)c5cc4oc3cc21
169,,R777,*c1nc(*)nc(Nn2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)n1
88,,R564,*n1c(=O)c2cc3c(=O)n(*)c(=O)c3cc2c1=O
166,,R769,*n1c(=O)c2ccc3c(=O)n(*)c(=O)c4ccc(c1=O)c2c34
168,,R773,*n1c(=O)c2cc3c(=O)n(*)c(=O)c3c(Br)c2c1=O
262,,R1215,*n1ccc(=O)[nH]c1=O
264,,R1226,*n1c(=O)c2ccc3c4ccc5c(=O)n(*)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56
273,,R1322,*c1ccc2nc3c4cccc5c(*)ccc(c(=O)n3c2c1)c54
274,,R1323,*c1ccc2c(c1)nc1c3ccc(*)c4cccc(c(=O)n21)c43
300,,R1475,*c1ccc2c(*)nn(*)c(=O)c2c1
301,,R1476,*c1ccc2c(=O)n(*)nc(*)c2c1
302,,R1477,*c1nn(*)c(=O)c2ccccc12
379,,R1873,*c1ccc2c(c1)nc1c3cc4c(=O)n5c6cc(*)ccc6nc5c4cc3c(=O)n21
384,,R1895,*c1nn(*)c(=O)c2cc3c(*)nn(*)c(=O)c3cc12
392,,R1950,*c1c2c(=O)n(*)c(=O)c2c(*)c2c(=O)n(*)c(=O)c12
393,,R1951,*c1c2c(=O)n(*)c(=O)c2cc2c(=O)n(*)c(=O)c12
401,,R1990,*n1c(=O)c2sc3c(=O)n(*)c(=O)c3sc2c1=O
404,,R2001,*n1c(=O)c2c(F)c3c(=O)n(*)c(=O)c3c(F)c2c1=O
510,,R2477,*On1c(=O)c2c(F)c3c(=O)n(*)c(=O)c3c(F)c2c1=O
511,,R2481,*c1ccc2c1cc1c3ccc4c(=O)n(*)c(=O)c4cc-3c(=O)n12
512,,R2482,*c1ccc2c(c1)c1cccnc1n2-n1c(=O)c2cc3c(=O)n(*)c(=O)c3cc2c1=O
513,,R2491,*On1c(=O)c2cc3c(=O)n(*)c(=O)c3cc2c1=O
521,,R2565,*n1c(=O)c2cc3sc4cc5c(=O)n(*)c(=O)c5cc4sc3cc2c1=O
540,,R2776,*c1c(*)c2c(=O)n(*)c(=O)c2c2c(=O)n(*)c(=O)c12
541,,R2779,*c1cc2c(=O)n(*)c(=O)c3ccc4c5c(*)cc6c(=O)n(*)c(=O)c7ccc(c1c4c32)c5c76
542,,,*c1cc2c3c(ccc4c5c(*)cc6c7c(ccc(c1c34)c75)C(=O)N(*)C6=O)C(=O)N(*)C2=O
