,correction,RID,smiles
372,,R1642,*CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
373,,R1643,*c1sc(*)c(C)c1*
374,,R1647,*c1sc(*)c2ccccc12
375,,R1650,*C#Cc1ccc(*)s1
376,,R1651,*C=c1ccc(=c2ccc(=Cc3ccc(*)s3)s2)s1
377,,R1652,*c1sc(*)c(C)c1C
378,,R1653,*C=Cc1cc(*)c(*)s1
379,,R1654,*C(c1ccccc1)=c1ccc(=c2ccc(=C(c3ccccc3)c3ccc(*)s3)s2)s1
380,,R1657,*c1ccc(C#Cc2cc(*)c(C#Cc3ccc(C=*)s3)cc2*)s1
381,,R1659,*c1nc2cc3sc(C=*)nc3cc2s1
382,,R1663,*CCCCBr
383,,R1664,*CCCCCCBr
384,,R1665,*CCCCCCCCCCBr
385,,R1668,*C(c1cccs1)=c1ccc(=c2ccc(=C(c3cccs3)c3ccc(*)s3)s2)s1
386,,R1669,*c1sc(*)c2nc(C)c(C)nc12
387,,R1670,*c1nc2c(*)sc(*)c2nc1C
388,,R1671,*c1nc2c(*)sc(*)c2nc1*
389,,R1672,*C=Cc1ccc(*)c2sccc12
390,,R1676,*C=Cc1sc(C=*)cc1*
391,,R1677,*c1cc(C=*)sc1*
392,,R1679,*C=Cc1csc(*)c1
393,,R1680,*c1ccc(C(=*)C)s1
394,,R1685,*c1cc(Cl)c(*)s1
395,,R1686,*c1cc(Br)c(*)s1
396,,R1688,*=Cc1ccc(C=*)s1
397,,R1691,*c1ccc(*)[nH]1
398,,R1695,*C(c1ccc(*)cc1)=c1ccc(=C(c2ccc(*)cc2)c2ccc(*)s2)s1
399,,R1698,*=C1c2ccsc2-c2sccc21
400,,R1699,*c1nc2c(*)sc(*)c2s1
401,,R1701,*C=Cc1sc(C=*)c(*)c1*
402,,R1702,*c1ccc2c3ccc(C=*)cc3n(*)c2c1
403,,R1704,*c1cc2c(s1)-c1sc(*)cc1C2(CCCCCCCC)CCCCCCCC
404,,R1705,*c1nc2c(*)c3sc(*)nc3c(*)c2s1
405,,R1707,*c1c(C)c2[nH]c1cc1nc(c(*)c3[nH]c(cc4nc(c2*)C(C)=C4CC)c(*)c3C)C(C)=C1CC
406,,R1708,*c1cscc1*
407,,R1709,*c1ccc(C=*)c2nsnc12
408,,R1712,*c1csc(C=*)n1
409,,R1716,*CCCCCCCCCF
410,,R1717,*CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
411,,R1719,*c1ccc(C#Cn2c(*)ccc2*)cc1
412,,R1720,*c1ccc2c3ccc(*)cc3n(*)c2c1
413,,R1721,*c1ccc(*)c2nccnc12
414,,R1725,*=Cc1cc2c(s1)-c1sc(C=*)cc1C2(CC(CC)CCCC)CC(CC)CCCC
415,,R1726,*c1cc2c(s1)-c1sc(*)cc1C2(CC(CC)CCCC)CC(CC)CCCC
416,,R1729,*C=Cc1ccc(C=*)c2nc(*)c(*)nc12
417,,R1731,*c1cc2sc(*)c(*)c2s1
418,,R1732,*c1cc(C=*)c(*)s1
419,,R1733,*c1cc(C)c(Br)cc1C
420,,R1734,*C=Cc1csc(C=*)c1*
421,,R1735,*c1cccc(C=*)n1
422,,R1736,*C=Cc1ccc(C=*)c2nsnc12
423,,R1737,*C=Cc1ccc(C=*)s1
424,,R1738,*c1cc(*)c(C=*)s1
425,,R1739,*c1c(C=*)sc(C=*)c1*
426,,R1743,*C(*)(Cl)Cl
427,,R1748,*CC(C*)(CCl)CI
428,,R1762,*c1ccc2c(Br)c(*)ccc2c1
429,,R1789,*c1ccc2cccc(*)c2n1
430,,R1806,*c1nc2ccccc2o1
431,,R1810,*CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
432,,R1815,*c1ccc(*)c(F)c1F
433,,R1833,*CCCP(CCC*)CCCCCCCC
434,,R1847,*c1cnn(*)c1
435,,R1850,*c1nnc(*)[nH]1
436,,R1864,*c1cnc(*)cn1
437,,R1881,*c1ncn(C)c1*
438,,R1886,*c1nc2ccccc2s1
439,,R1894,*c1c[nH]c2ccccc12
440,,R1954,*c1ccc(C2(c3ccc(*)c(F)c3)c3ccccc3-c3ccccc32)cc1F
441,,R1974,*c1cc(*)c(*)c(Br)c1
442,,R1996,*=Cc1ccc(F)cc1
443,,R2007,*c1cc(*)nc(*)c1
444,,R2029,*c1cc(*)nc(Cl)c1
445,,R2042,*c1ccc2[nH]c3ccccc3c2c1
446,,R2050,*c1c(Cl)cc(C(=C(Cl)Cl)c2cc(Cl)c(*)c(Cl)c2)cc1Cl
447,,R2060,*c1cc(C=*)nc(*)n1
448,,R2063,*c1nnc2c3ccccc3nc(*)n12
449,,R2069,*c1ccc2nc3c4cccc5c6nc7ccc(*)cc7nc6c6cccc(c3nc2c1)c6c45
450,,R2099,*C=Cc1ccc(*)nc1
451,,R2100,*C=Cc1ccc2c(c1)c1cc(*)ccc1n2*
452,,R2101,*c1cc(*)c(*)[nH]1
453,,R2102,*c1cc(C)c(*)[nH]1
