,rid,smiles,category
580,R1000218,[*]CC([*])c1ccc(C(=O)c2ccc(OC)cc2)cc1,known
581,R1000219,[*]CC([*])c1ccc2ccccc2c1,known
588,R1000220,[*]CC([*])c1ccncc1,known
592,R1000221,[*]CC([*])c1cccc(C)n1,known
594,R1000222,[*]CC([*])c1ccc(C)nc1,known
597,R1000223,[*]CC([*])n1cc2ccccc2n1,known
600,R1000224,[*]CC(c1ccccn1)C(c1ccccc1)C([*])c1ccccn1,known
601,R1000225,[*]CC([*])c1ccc(O)cc1,known
610,R1000226,[*]CC([*])c1ccc(OC(C)=O)cc1,known
618,R1000227,[*]CC([*])c1ccc(CCC)cc1,known
619,R1000228,[*]CC([*])c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,known
620,R1000229,[*]CC([*])c1ccc(COCC(CC)CCCC)cc1,known
621,R1000230,[*]CC([*])c1ccc(COCCOCCCCCCCC)cc1,known
622,R1000231,[*]CC([*])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1,known
623,R1000232,[*]CC(CC([*])(C#N)C(=O)OC)c1ccccc1,known
624,R1000233,[*]CC([*])c1ccc(C(=O)O)c(C(=O)O)c1,known
625,R1000234,[*]CC([*])O,known
645,R1000235,[*]CC([*])C=O,known
648,R1000236,[*]CC([*])OC(=O)CCCCCCCCCCC,known
650,R1000237,[*]CC([*])OC(=O)CCCCCCCCCCCCCCC,known
655,R1000238,[*]CC([*])OC(=O)CCCCCCCCCCCCCCCCC,known
660,R1000239,[*]CC([*])C(C)=O,known
667,R1000240,[*]CC([*])C(=O)C(C)C,known
668,R1000241,[*]CC([*])(C)C(C)=O,known
673,R1000242,[*]CC([*])C#N,known
692,R1000243,[*]CC([*])(C)C#N,known
703,R1000244,[*]CC([*])c1ccccn1,known
713,R1000245,[*]CC([*])n1c2ccccc2c2ccccc21,known
727,R1000246,[*]CC([*])OC,known
737,R1000247,[*]CC([*])OCC,known
744,R1000248,[*]CC([*])OCCCC,known
750,R1000249,[*]CC([*])OCCCCC,known
755,R1000250,[*]CC([*])OCCCCCC,known
760,R1000251,[*]CC([*])OCCCCCCCCCC,known
765,R1000252,[*]CC([*])OC(C)=O,known
787,R1000253,[*]CC([*])OC(=O)CC,known
792,R1000254,[*]CC([*])OC(=O)c1ccccc1,known
799,R1000255,[*]CC([*])OCC(C)C,known
805,R1000256,[*]CC([*])CCCCCCCCCO,known
806,R1000257,[*]CC([*])CCN(C(C)C)C(C)C,known
807,R1000258,[*]CC([*])CCCN(C(C)C)C(C)C,known
809,R1000259,[*]CC([*])CCCN(CC(C)C)CC(C)C,known
811,R1000260,[*]C=CC(C)C([*])C(=O)OC,known
815,R1000261,[*]C#CC(COS(=O)(=O)c1ccc(C)cc1)=C([*])COS(=O)(=O)c1ccc(C)cc1,known
817,R1000262,[*]CC([*])OC=O,known
822,R1000263,[*]CC([*])OCc1ccccc1,known
824,R1000264,[*]CC([*])OC(C)(C)C,known
826,R1000265,[*]C(C)C([*])OCC(C)C,known
827,R1000266,[*]CC([*])OC(C)C,known
831,R1000267,[*]CC([*])(C)OC,known
832,R1000268,[*]CC([*])OCC(C)(C)C,known
834,R1000269,[*]CC([*])OC(C)CC,known
838,R1000270,[*]CC([*])OC(=O)C(F)(F)F,known
843,R1000271,[*]C=CC(C[*])OC,known
846,R1000272,[*]C=CCC(C)(CC[*])C(=O)OC,known
848,R1000273,[*]CC([*])CCc1ccccc1C,known
849,R1000274,[*]CC([*])CCc1ccc(C)cc1,known
851,R1000275,[*]CC([*])OCCCCCCCCCCCC,known
856,R1000276,[*]C(C)C([*])OCCCC,known
857,R1000277,[*]C(C)C([*])OC(C)(C)C,known
858,R1000278,[*]C(C)C([*])OCC,known
859,R1000279,[*]C(C)C([*])OC(C)C,known
860,R1000280,[*]C(C)C([*])OC,known
862,R1000281,[*]C(C)C([*])OCCC,known
863,R1000282,[*]C1CC([*])(C#N)C1,known
865,R1000283,[*]CC([*])Cc1cc(C)ccc1C,known
866,R1000284,[*]CC([*])Cc1ccc(C)c(C)c1,known
867,R1000285,[*]CC([*])Cc1cc(C)cc(C)c1,known
868,R1000286,[*]CC([*])Cc1cccc(C)c1,known
870,R1000287,[*]CC([*])Cc1ccccc1C,known
872,R1000288,[*]CC([*])Cc1ccc(C)cc1,known
874,R1000289,[*]C(C)C([*])O,known
876,R1000290,[*]CC([*])OC(=O)c1ccc(C(C)(C)C)cc1,known
880,R1000291,[*]CC([*])C(=O)C(C)(C)C,known
882,R1000292,[*]CC([*])C(=O)C1CCCCC1,known
883,R1000293,[*]CC([*])OC(=O)CCCCCCCCCCCCC,known
886,R1000294,[*]CC([*])C(=O)c1ccccc1O,known
887,R1000295,[*]CCC=C([*])c1ccccc1,known
889,R1000296,[*]C([*])O,known
891,R1000297,[*]CC([*])OCC(CC)CCCC,known
895,R1000298,[*]CC([*])SCCCC,known
898,R1000299,[*]CC([*])OC1CCCCC1,known
899,R1000300,[*]CC([*])SCC,known
902,R1000301,[*]C(F)(F)C([*])(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,known
903,R1000302,[*]C(F)(F)C([*])(F)OC(F)(F)C(F)(F)F,known
905,R1000303,[*]C(F)(F)C([*])(OC(F)(F)F)OC(F)(F)F,known
906,R1000304,[*]C(OC(F)(F)F)C([*])(F)F,known
908,R1000305,[*]C(F)C([*])(F)OC(F)(F)F,known
911,R1000306,[*]C(F)(F)C([*])(F)OC(F)(F)F,known
913,R1000307,[*]CC([*])OCC(C)(C)CC,known
914,R1000308,[*]CC([*])SC,known
918,R1000309,[*]CC([*])OCCCCCCCC,known
922,R1000310,[*]CC([*])OCCC,known
925,R1000311,[*]CC([*])(F)C(C)=O,known
928,R1000312,[*]CC([*])C(=O)c1ccccc1,known
930,R1000313,[*]CC([*])C(=O)c1ccc(Br)c(OC)c1,known
932,R1000314,[*]CC([*])C(=O)c1ccc(C(C)(C)C)cc1,known
934,R1000315,[*]CC([*])C(=O)c1ccc(Cl)cc1,known
935,R1000316,[*]CC([*])C(=O)c1ccc(CC)cc1,known
938,R1000317,[*]CC([*])C(=O)c1ccc(C(C)C)cc1,known
939,R1000318,[*]CC([*])C(=O)c1ccc(OC)cc1,known
940,R1000319,[*]CC([*])C(=O)c1ccc(C)c(C)c1,known
941,R1000320,[*]CC([*])C(=O)c1ccc(CCC)cc1,known
942,R1000321,[*]CC([*])C(=O)c1ccc(C)cc1,known
943,R1000322,[*]CC([*])OC(=O)c1ccccc1OC(C)=O,known
944,R1000323,[*]CC([*])OC(=O)c1ccc(OC(C)=O)cc1,known
946,R1000324,[*]CC([*])OC(=O)CCCC(=O)c1ccccc1,known
947,R1000325,[*]CC([*])OC(=O)c1cccc(Br)c1,known
949,R1000326,[*]CC([*])OC(=O)c1ccc(Br)cc1,known
950,R1000327,[*]CC([*])OC(=O)c1ccc(OC(=O)CCC)cc1,known
951,R1000328,[*]CC([*])OC(=O)c1ccccc1Cl,known
953,R1000329,[*]CC([*])OC(=O)c1cccc(Cl)c1,known
955,R1000330,[*]CC([*])OC(=O)c1ccc(Cl)cc1,known
957,R1000331,[*]CC([*])OC(=O)C1CCCCC1,known
963,R1000332,[*]CC([*])OC(=O)CC1CCCCC1,known
964,R1000333,[*]CC([*])OC(=O)CCCC1CCCCC1,known
965,R1000334,[*]CC([*])OC(=O)c1ccc(OCC)cc1,known
966,R1000335,[*]CC([*])OC(=O)c1ccc(CC)cc1,known
970,R1000336,[*]CC([*])OC(=O)C(C)(CC)C(C)(C)C,known
971,R1000337,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)F,known
976,R1000338,[*]CC([*])OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,known
979,R1000339,[*]CC([*])NC(=O)OC(C)(C)C,known
981,R1000340,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,known
983,R1000341,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,known
987,R1000342,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,known
990,R1000343,[*]CC([*])OC(=O)C(F)(F)C(F)(F)F,known
994,R1000344,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,known
997,R1000345,[*]CC([*])OC(=O)c1ccncc1,known
1001,R1000346,[*]CC([*])OC(=O)c1ccc(C(C)C)cc1,known
1005,R1000347,[*]CC([*])OC(=O)C(C)(C(C)C)C(C)C,known
1006,R1000348,[*]CC([*])OC(=O)c1ccccc1OC,known
1007,R1000349,[*]CC([*])OC(=O)c1cccc(OC)c1,known
