,RID,smiles,fragment_fp,fragment_fp2
79,R0000002634,*c1cc2c(c(Br)c1*)C(C)(C)CC21CC(C)(C)c2cc3oc4c(C#N)c5oc6cc7c(cc6oc5c(C#N)c4oc3c(Br)c21)OC1(CC(C)(C)c2cc3c(cc2O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O3)CC7(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560f80>,"[4, 76, 13]"
80,R0000002635,*c1cc2c(cc1*)C1(c3cc4oc5c(C#N)c6oc7cc8c(cc7oc6c(C#N)c5oc4cc3C(C)(CC)C1C)OC1(CC(C)(C)c3cc4c(cc3O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)CC8(C)C)C(*)(C)C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560030>,"[5, 76, 13]"
81,R0000002640,*c1cc2c(cc1*)C1(c3ccccc3-2)c2ccccc2-c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560620>,"[4, 41, 8]"
82,R0000002713,*C=CC1CC(*)C(C#N)([Si](C)(C)C)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f560ad0>,"[2, 15, 1]"
83,R0000002714,*C=CC1CC(*)C(C#N)([Si](C)(C)O[Si](C)(C)C)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5285d0>,"[2, 19, 1]"
84,R0000002715,*C=CC1CC(*)C(C#N)([Si](C)(C)O[Si](C)(C)O[Si](C)(C)C)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f528f30>,"[2, 23, 1]"
85,R0000002717,*C=CC1CC(*)C(C#N)([Si](C)(C)[Si](C)(C)C)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5286c0>,"[2, 18, 1]"
86,R0000002823,*CCCCCC#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f528cb0>,"[1, 8, 0]"
87,R0000002954,*CC(C)(C)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f528df0>,"[1, 7, 0]"
88,R0000002956,*CC(C#N)CCCCC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f528e40>,"[1, 10, 0]"
